question_id,question_name,parent_question,poll_name
6490,Other [Specify],Are there mosaics present:,Religious Place (v1.2)
7870,Other behavioral guidelines?,"Does the text express authority of ethical guidelines? (E.g.: adat literature that dictates or records ""customary practices"")",Religious Text (v1.0)
8264,Other form of eschatology?,Is an eschatology present in the text?,Religious Text (v1.0)
7822,Other forms of illumination?,Illuminations?,Religious Text (v1.0)
7553,Other forms of welfare?,,Religious Text (v0.1)
8393,Other forms of welfare?,,Religious Text (v1.0)
6968,Other important aspects of materiality with regard to the text?,Is there material significance to the text?,Religious Text (v0.1)
7808,Other important aspects of materiality with regard to the text?,Is there material significance to the text?,Religious Text (v1.0)
6793,Other natural sanctuaries,Is the text stored in a specific location?,Religious Text (v0.1)
7633,Other natural sanctuaries,Is the text stored in a specific location?,Religious Text (v1.0)
7909,Other spiritual elect,Is feasting sponsored by the same entity that produced the text/copies of the text?,Religious Text (v1.0)
6955,Other type of knowledge?,Promotes knowledge?,Religious Text (v0.1)
7795,Other type of knowledge?,Promotes knowledge?,Religious Text (v1.0)
6414,Other:,Are the scriptures actively used at the place:,Religious Place (v1.2)
5141,Other:,Does membership in this religious group require sacrifice of children:,Religious Group (v6)
6404,Other:,Were the scriptures/sacred texts located in a specific room within the main structure:,Religious Place (v1.2)
5277,Part of body present:,Is it a cenotaph:,Religious Place (v1)
6383,Part of body present:,Is it a cenotaph:,Religious Place (v1.2)
8429,Particular types of training/readiness?,Does the text dictate how to control an institutionalized military?,Religious Text (v1.0)
7911,Patricians,Is feasting sponsored by the same entity that produced the text/copies of the text?,Religious Text (v1.0)
7798,Physical healing,Does the text serve a healing function?,Religious Text (v1.0)
7876,Planting?,Does the calendar specifically dictate acceptable times for certain activities?,Religious Text (v1.0)
6873,Possess its own distinct written language?,Written in distinctly religious/sacred language?,Religious Text (v0.1)
7713,Possess its own distinct written language?,Written in distinctly religious/sacred language?,Religious Text (v1.0)
7667,Production,Is preferential economic treatment (e.g. tax exemption) present in the polity to support the text(s)…,Religious Text (v1.0)
6950,Promotes knowledge?,Does the material significance have an esoteric function?,Religious Text (v0.1)
7790,Promotes knowledge?,Does the material significance have an esoteric function?,Religious Text (v1.0)
6407,Repurposed:,Where are the scriptures/sacred texts located in secondary building:,Religious Place (v1.2)
7833,Ritual purpose of text?,"Among debates about proper versions of the text, how is authority established?",Religious Text (v1.0)
6988,Ritual purpose of text?,"If multiple versions are proper, is there a differentiation among versions by any means?",Religious Text (v0.1)
7828,Ritual purpose of text?,"If multiple versions are proper, is there a differentiation among versions by any means?",Religious Text (v1.0)
6781,Shrine,Is the text stored in a specific location?,Religious Text (v0.1)
7621,Shrine,Is the text stored in a specific location?,Religious Text (v1.0)
7862,Social promotion?,Are there any established institutionalized rewards specified in the text?,Religious Text (v1.0)
7812,Solids?,Are there material substantance that commonly accompany the text?,Religious Text (v1.0)
6403,Space underneath the structure,Were the scriptures/sacred texts located in a specific room within the main structure:,Religious Place (v1.2)
6773,Species,Medium upon which the text is written/incised,Religious Text (v0.1)
7612,Species,Medium upon which the text is written/incised,Religious Text (v1.0)
7613,Species,Medium upon which the text is written/incised,Religious Text (v1.0)
7640,Specific body part,Where is iconography or imagery present?,Religious Text (v1.0)
8157,Specifies taboo regarding power relations (i.e. defines what constitutes abusive behavior),Supernatural beings care about sex,Religious Text (v1.0)
7807,Specify,Are there debates about whether or not altering the materiality of the text is acceptable?,Religious Text (v1.0)
7916,Specify,Does feasting occur in a specific locations in accordance with guidelines from the text?,Religious Text (v1.0)
7805,Specify,Has the materiality of the text been altered?,Religious Text (v1.0)
7670,Specify,Is preferential economic treatment (e.g. tax exemption) present in the polity to support the text(s)…,Religious Text (v1.0)
6797,Specify,Is the text stored in a specific location?,Religious Text (v0.1)
7637,Specify,Is the text stored in a specific location?,Religious Text (v1.0)
7609,Specify,Medium upon which the text is written/incised,Religious Text (v1.0)
7809,Specify,Other important aspects of materiality with regard to the text?,Religious Text (v1.0)
6392,Specify,Was the place created to mark or commemorate the birthplace of a supernatural or human being:,Religious Place (v1.2)
6774,Specify type of paper,Medium upon which the text is written/incised,Religious Text (v0.1)
7614,Specify type of paper,Medium upon which the text is written/incised,Religious Text (v1.0)
7649,"Status objects (tools, weapons, mounts, throne, etc.)",Are there distinct or notable features or attributes in the religious group's iconography or images?,Religious Text (v1.0)
7668,Storage,Is preferential economic treatment (e.g. tax exemption) present in the polity to support the text(s)…,Religious Text (v1.0)
7669,Study,Is preferential economic treatment (e.g. tax exemption) present in the polity to support the text(s)…,Religious Text (v1.0)
6787,Synagogue,Is the text stored in a specific location?,Religious Text (v0.1)
7627,Synagogue,Is the text stored in a specific location?,Religious Text (v1.0)
8156,"Taboo about close blood relations (beyond incest) [e.g. from same clan group, village, settlement, so forth].",Supernatural beings care about sex,Religious Text (v1.0)
6410,To a human audience,Are they read aloud:,Religious Place (v1.2)
7604,Tool for making the impression(s),Methods of Composition,Religious Text (v1.0)
7887,Trade/commerce?,Does the calendar specifically dictate acceptable times for certain activities?,Religious Text (v1.0)
7519,Tragedy?,Does the text include elements that are intended to be entertaining?,Religious Text (v0.1)
8359,Tragedy?,Does the text include elements that are intended to be entertaining?,Religious Text (v1.0)
6788,Triumphal Arch,Is the text stored in a specific location?,Religious Text (v0.1)
7628,Triumphal Arch,Is the text stored in a specific location?,Religious Text (v1.0)
6480,Type,Are they wall paintings:,Religious Place (v1.2)
7611,Type of clay,Medium upon which the text is written/incised,Religious Text (v1.0)
7608,Type of metal,Medium upon which the text is written/incised,Religious Text (v1.0)
7656,Use of geometric/abstract designs?,Is the area where the text is stored accompanied by an-iconic images?,Religious Text (v1.0)
6413,Used for divination:,Are the scriptures actively used at the place:,Religious Place (v1.2)
7813,Vapors or smoke?,Are there material substantance that commonly accompany the text?,Religious Text (v1.0)
7885,Warfare?,Does the calendar specifically dictate acceptable times for certain activities?,Religious Text (v1.0)
6775,Was the material modified before the writing or incising process?,,Religious Text (v0.1)
7615,Was the material modified before the writing or incising process?,,Religious Text (v1.0)
6776,Was the text modified before the writing or incising process?,,Religious Text (v0.1)
7616,Was the text modified before the writing or incising process?,,Religious Text (v1.0)
7877,Water management? (such as opening or closing dams/dykes),Does the calendar specifically dictate acceptable times for certain activities?,Religious Text (v1.0)
7928,What are historical mainstream and minority positions?,Is a spirit-body distinction present in the text?,Religious Text (v1.0)
7937,What are the historically mainstream positions in the debate?,Is there debate in the interpretation of the language of the afterlife?,Religious Text (v1.0)
7947,What are the historically mainstream positions?,In textual exegesis among practitioners are there debates about reincarnation?,Religious Text (v1.0)
7948,What are the historically minority positions?,In textual exegesis among practitioners are there debates about reincarnation?,Religious Text (v1.0)
7938,What are the historically minority positions?,Is there debate in the interpretation of the language of the afterlife?,Religious Text (v1.0)
8038,"What concepts of inspiration exist? (e.g. clairvoyance, insights, vision of the divine world, awareness of divine omnipresent agency or omnipotence, sigh or vision beyond the five senses).",Does the text make communication with supreme high-god possible?,Religious Text (v1.0)
7727,What factors might account for historical changes in audience size,"Number of audience within the sample region (% of sample region population, numerical)",Religious Text (v1.0)
6883,What factors might account for historical changes in audience size,"Number of audience within the sample region (estimated population, numerical)",Religious Text (v0.1)
7723,What factors might account for historical changes in audience size,"Number of audience within the sample region (estimated population, numerical)",Religious Text (v1.0)
7874,What is the arrangement of the calendar? [Select all that apply],Formulating a specifically religious calendar?,Religious Text (v1.0)
6879,What is the estimated number of people considered to be the audience of the text,,Religious Text (v0.1)
7719,What is the estimated number of people considered to be the audience of the text,,Religious Text (v1.0)
7726,What is the size of the largest known audience,"Number of audience within the sample region (% of sample region population, numerical)",Religious Text (v1.0)
6882,What is the size of the largest known audience,"Number of audience within the sample region (estimated population, numerical)",Religious Text (v0.1)
7722,What is the size of the largest known audience,"Number of audience within the sample region (estimated population, numerical)",Religious Text (v1.0)
7725,What is the size of the smallest known audience,"Number of audience within the sample region (% of sample region population, numerical)",Religious Text (v1.0)
6881,What is the size of the smallest known audience,"Number of audience within the sample region (estimated population, numerical)",Religious Text (v0.1)
7721,What is the size of the smallest known audience,"Number of audience within the sample region (estimated population, numerical)",Religious Text (v1.0)
7597,Which of the follow are forms of ritual food production [choose all that apply]?,Does the text mentioned food production/disbursement?,Religious Text (v0.1)
8437,Which of the follow are forms of ritual food production [choose all that apply]?,Does the text mentioned food production/disbursement?,Religious Text (v1.0)
6368,With ritually deposited medium/material:,How was the structure/feature destroyed,Religious Place (v1.2)
7921,Within conceptions of the mind: are there distinct notions of pyschological states or aggregates?,Is a spirit-body distinction present in the text?,Religious Text (v1.0)
